Run,Event,TimeMs
0,StartUp,4908
0,CreateContainerQueueProxy,7
0,CreateContainerUserContainer,6
0,RunPodSandbox,3480
0,StartContainerQueueProxy,122
0,StartContainerUserContainer,86
1,StartUp,4922
1,CreateContainerQueueProxy,6
1,CreateContainerUserContainer,6
1,RunPodSandbox,3472
1,StartContainerQueueProxy,137
1,StartContainerUserContainer,99
2,StartUp,4899
2,CreateContainerQueueProxy,6
2,CreateContainerUserContainer,6
2,RunPodSandbox,3518
2,StartContainerQueueProxy,150
2,StartContainerUserContainer,95
