Run,Event,TimeMs
0,StartUp,4507
0,CreateContainerQueueProxy,7
0,CreateContainerUserContainer,18
0,PullImage,2425
0,RunPodSandbox,751
0,StartContainerQueueProxy,160
0,StartContainerUserContainer,101
1,StartUp,4408
1,CreateContainerQueueProxy,8
1,CreateContainerUserContainer,11
1,PullImage,2296
1,RunPodSandbox,733
1,StartContainerQueueProxy,120
1,StartContainerUserContainer,89
2,StartUp,4602
2,CreateContainerQueueProxy,6
2,CreateContainerUserContainer,32
2,PullImage,2367
2,RunPodSandbox,740
2,StartContainerQueueProxy,95
2,StartContainerUserContainer,67
