Run,Event,TimeMs
0,StartUp,1976
0,CreateContainerQueueProxy,8
0,CreateContainerUserContainer,6
0,RunPodSandbox,714
0,StartContainerQueueProxy,149
0,StartContainerUserContainer,91
1,StartUp,2025
1,CreateContainerQueueProxy,6
1,CreateContainerUserContainer,8
1,RunPodSandbox,757
1,StartContainerQueueProxy,128
1,StartContainerUserContainer,95
2,StartUp,1972
2,CreateContainerQueueProxy,8
2,CreateContainerUserContainer,8
2,RunPodSandbox,713
2,StartContainerQueueProxy,101
2,StartContainerUserContainer,103
