Run,Event,TimeMs
0,StartUp,3548
0,CreateContainerQueueProxy,5
0,CreateContainerUserContainer,8
0,PullImage,2330
0,RunPodSandbox,194
0,StartContainerQueueProxy,95
0,StartContainerUserContainer,68
1,StartUp,3630
1,CreateContainerQueueProxy,6
1,CreateContainerUserContainer,26
1,PullImage,2339
1,RunPodSandbox,197
1,StartContainerQueueProxy,80
1,StartContainerUserContainer,85
2,StartUp,3630
2,CreateContainerQueueProxy,6
2,CreateContainerUserContainer,42
2,PullImage,2297
2,RunPodSandbox,212
2,StartContainerQueueProxy,46
2,StartContainerUserContainer,86
