Run,Event,TimeMs
0,StartUp,14929
0,CreateContainerQueueProxy,24
0,CreateContainerUserContainer,21
0,RunPodSandbox,8181
0,StartContainerQueueProxy,1311
0,StartContainerUserContainer,4232
1,StartUp,14949
1,CreateContainerQueueProxy,21
1,CreateContainerUserContainer,22
1,RunPodSandbox,8487
1,StartContainerQueueProxy,1298
1,StartContainerUserContainer,4187
2,StartUp,14936
2,CreateContainerQueueProxy,23
2,CreateContainerUserContainer,25
2,RunPodSandbox,8489
2,StartContainerQueueProxy,1303
2,StartContainerUserContainer,4219
