Run,Event,TimeMs
0,StartUp,6706
0,CreateContainerQueueProxy,23
0,CreateContainerUserContainer,22
0,PullImage,2425
0,RunPodSandbox,265
0,StartContainerQueueProxy,1318
0,StartContainerUserContainer,4240
1,StartUp,6771
1,CreateContainerQueueProxy,22
1,CreateContainerUserContainer,21
1,PullImage,2296
1,RunPodSandbox,259
1,StartContainerQueueProxy,1301
1,StartContainerUserContainer,4237
2,StartUp,6763
2,CreateContainerQueueProxy,25
2,CreateContainerUserContainer,21
2,PullImage,2367
2,RunPodSandbox,244
2,StartContainerQueueProxy,1294
2,StartContainerUserContainer,4257
