Run,Event,TimeMs
0,StartUp,6910
0,CreateContainerQueueProxy,26
0,CreateContainerUserContainer,21
0,PullImage,0
0,RunPodSandbox,249
0,StartContainerQueueProxy,1335
0,StartContainerUserContainer,4299
1,StartUp,7222
1,CreateContainerQueueProxy,29
1,CreateContainerUserContainer,26
1,PullImage,0
1,RunPodSandbox,247
1,StartContainerQueueProxy,1323
1,StartContainerUserContainer,4288
2,StartUp,6937
2,CreateContainerQueueProxy,29
2,CreateContainerUserContainer,21
2,PullImage,0
2,RunPodSandbox,254
2,StartContainerQueueProxy,1324
2,StartContainerUserContainer,4258
