Run,Event,TimeMs
0,StartUp,14955
0,CreateContainerQueueProxy,25
0,CreateContainerUserContainer,25
0,RunPodSandbox,8272
0,StartContainerQueueProxy,1289
0,StartContainerUserContainer,4221
1,StartUp,14943
1,CreateContainerQueueProxy,22
1,CreateContainerUserContainer,21
1,RunPodSandbox,7975
1,StartContainerQueueProxy,1313
1,StartContainerUserContainer,4231
2,StartUp,14939
2,CreateContainerQueueProxy,25
2,CreateContainerUserContainer,22
2,RunPodSandbox,7900
2,StartContainerQueueProxy,1316
2,StartContainerUserContainer,4291
