Run,Event,TimeMs
0,StartUp,14820
0,CreateContainerQueueProxy,30
0,CreateContainerUserContainer,27
0,PullImage,93
0,RunPodSandbox,8448
0,StartContainerQueueProxy,1288
0,StartContainerUserContainer,4233
1,StartUp,14829
1,CreateContainerQueueProxy,27
1,CreateContainerUserContainer,24
1,PullImage,95
1,RunPodSandbox,8278
1,StartContainerQueueProxy,1315
1,StartContainerUserContainer,4289
2,StartUp,14782
2,CreateContainerQueueProxy,26
2,CreateContainerUserContainer,21
2,PullImage,95
2,RunPodSandbox,8113
2,StartContainerQueueProxy,1291
2,StartContainerUserContainer,4212
