Run,Event,TimeMs
0,StartUp,14964
0,CreateContainerQueueProxy,26
0,CreateContainerUserContainer,28
0,PullImage,0
0,RunPodSandbox,8293
0,StartContainerQueueProxy,1307
0,StartContainerUserContainer,4244
1,StartUp,14884
1,CreateContainerQueueProxy,22
1,CreateContainerUserContainer,26
1,PullImage,0
1,RunPodSandbox,8272
1,StartContainerQueueProxy,1330
1,StartContainerUserContainer,4190
2,StartUp,14942
2,CreateContainerQueueProxy,24
2,CreateContainerUserContainer,32
2,PullImage,0
2,RunPodSandbox,8010
2,StartContainerQueueProxy,1313
2,StartContainerUserContainer,4241
