Run,Event,TimeMs
0,StartUp,15217
0,CreateContainerQueueProxy,43
0,CreateContainerUserContainer,47
0,RunPodSandbox,4076
0,StartContainerQueueProxy,1441
0,StartContainerUserContainer,8152
1,StartUp,13260
1,CreateContainerQueueProxy,51
1,CreateContainerUserContainer,47
1,RunPodSandbox,875
1,StartContainerQueueProxy,2752
1,StartContainerUserContainer,8904
2,StartUp,13148
2,CreateContainerQueueProxy,51
2,CreateContainerUserContainer,74
2,RunPodSandbox,859
2,StartContainerQueueProxy,2745
2,StartContainerUserContainer,8890
