Run,Event,TimeMs
0,StartUp,6211
0,CreateContainerQueueProxy,51
0,CreateContainerUserContainer,51
0,PullImage,126
0,RunPodSandbox,920
0,StartContainerQueueProxy,4016
0,StartContainerUserContainer,558
1,StartUp,6470
1,CreateContainerQueueProxy,59
1,CreateContainerUserContainer,54
1,PullImage,135
1,RunPodSandbox,919
1,StartContainerQueueProxy,3824
1,StartContainerUserContainer,553
2,StartUp,6839
2,CreateContainerQueueProxy,56
2,CreateContainerUserContainer,54
2,PullImage,134
2,RunPodSandbox,899
2,StartContainerQueueProxy,3976
2,StartContainerUserContainer,552
