Run,Event,TimeMs
0,StartUp,6078
0,CreateContainerQueueProxy,60
0,CreateContainerUserContainer,69
0,PullImage,0
0,RunPodSandbox,888
0,StartContainerQueueProxy,3936
0,StartContainerUserContainer,535
1,StartUp,7191
1,CreateContainerQueueProxy,59
1,CreateContainerUserContainer,56
1,PullImage,0
1,RunPodSandbox,922
1,StartContainerQueueProxy,3964
1,StartContainerUserContainer,562
2,StartUp,6171
2,CreateContainerQueueProxy,53
2,CreateContainerUserContainer,56
2,PullImage,0
2,RunPodSandbox,940
2,StartContainerQueueProxy,3935
2,StartContainerUserContainer,561
