Run,Event,TimeMs
0,StartUp,20923
0,CreateContainerQueueProxy,54
0,CreateContainerUserContainer,59
0,PullImage,136
0,RunPodSandbox,8345
0,StartContainerQueueProxy,2665
0,StartContainerUserContainer,8794
1,StartUp,20705
1,CreateContainerQueueProxy,60
1,CreateContainerUserContainer,56
1,PullImage,127
1,RunPodSandbox,8329
1,StartContainerQueueProxy,2623
1,StartContainerUserContainer,8692
2,StartUp,21741
2,CreateContainerQueueProxy,58
2,CreateContainerUserContainer,64
2,PullImage,128
2,RunPodSandbox,8345
2,StartContainerQueueProxy,2702
2,StartContainerUserContainer,8789
