Run,Event,TimeMs
0,StartUp,20938
0,CreateContainerQueueProxy,58
0,CreateContainerUserContainer,61
0,PullImage,0
0,RunPodSandbox,8511
0,StartContainerQueueProxy,2661
0,StartContainerUserContainer,8817
1,StartUp,21061
1,CreateContainerQueueProxy,59
1,CreateContainerUserContainer,74
1,PullImage,0
1,RunPodSandbox,8439
1,StartContainerQueueProxy,2670
1,StartContainerUserContainer,8705
2,StartUp,21172
2,CreateContainerQueueProxy,67
2,CreateContainerUserContainer,59
2,PullImage,0
2,RunPodSandbox,8354
2,StartContainerQueueProxy,2627
2,StartContainerUserContainer,8815
